Family,SpeciesName,WoodDensity,Reference,,,,,,
NA,Piptadeniastrum africanum,0.603,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.56,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.56,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.645,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.57,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.56,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.611,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.55,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Piptadeniastrum africanum,0.593,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Strombosia glaucescens,0.74,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Strombosia glaucescens,0.8,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Heritiera utilis,0.54,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.55,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.51,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.55,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.577,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.517,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.525,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.54,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.54,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.55,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Tieghemella Heckelii,0.576,"Henry et al., 2010. Wood density, phytomass variations within and among trees, and allometric equations in a tropical rainforest of Africa",,,,,,
NA,Abies alba,0.545,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Abies alba,0.577,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Abies balsama,0.529,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Abies grandis,0.449,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Abies procera,0.465,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Agathis vitiensis,0.673,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Araucaria angustifolia,0.689,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Chaemaecyparis lawsoniana,0.497,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Larix decidua,0.673,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Larix eurolepis,0.577,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Larix kaempferi,0.609,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Picea abies,0.497,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Picea abies,0.497,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Picea alba,0.529,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Picea omorika,0.497,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Picea sitchensis,0.481,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Picea sitchensis,0.529,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus brutia,#VALUE!,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus caribaea,0.977,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus caribaea,0.977,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus contorta,0.593,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus holfordiana,0.513,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus nigra,0.609,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus nigra,0.705,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus pinaster,0.609,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus ponderosa,0.561,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus radiata,0.577,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus radiata,0.641,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus strobus,0.433,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus sylvestris,0.625,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pinus sylvestris,0.625,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Podocarpus sp.,0.641,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Podocarpus guatemalensis,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pseudotsuga menziesii,0.625,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pseudotsuga menziesii,0.673,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Thuja heterophylla,0.545,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Thuja heterophylla,0.593,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Thuja heterophylla,0.609,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Thuja plicata,0.465,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Aesculus hippocastanum,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Acacia mollissima,0.897,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Acer psedudoplatanus,0.721,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Afzelia quanzensis,1.137,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Alnus glutinosa,0.675,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Alstonia boonei,0.497,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Anthocephalus chinensis,0.567,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Aspidosperma sp.,0.993,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Autranella congolensis,1.144,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Berlinia confusa,0.849,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Betula sp.,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Brachstegia nigerica,0.865,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Brachylaena hutchinsii,1.153,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Byrsonima coriacea,0.865,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Calophyllum brasiliense,0.817,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Canarium schweinfurthii,0.593,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Carpinus betulus,0.865,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Cassispourea malasana,0.897,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Castanea sativa,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Cedrela odorata,0.433,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Celtis sp.,0.961,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Ceratopetalum apetalum,0.733,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Chlorophora excelsa,0.817,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Cordia millenii,0.545,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Cullenia ceylanica,0.769,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Cyanomeria alexandri,1.121,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Cylicodiscus gabunensis,1.185,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Dipterocarpus sp.,0.929,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Dipterocarpus acutangulus,0.913,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Dipterocarpus caudiferus,0.753,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Dipterocarpus zeylanicus,0.977,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Drychalanops beccarii,0.865,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Drychalanops keithii,0.902,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Drychalanops lanceolata,0.865,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Entandrophragma angolense,0.705,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Entandrophragma cylindricum,0.833,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Entandrophragma utile,0.833,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Eperua sp.,1.169,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Erythrophteum sp.,1.362,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Eucalyptus piluaris,0.897,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Eucalyptus marginata,1.009,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Eucalyptus microcorys,1.234,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Eucalyptus paniculata,1.346,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Eucalyptus versicolor,1.041,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Eusideroxylon zwageri,1.282,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Fagus sylvatica,0.833,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Fraxinus excelsior,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Gmelina arborea,0.625,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Gonystylus macrophyllum,0.785,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Gossweilerodendron balsamiferum,0.641,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Guarca excelsa,0.689,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Guarca thompsonii,0.817,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Heritiera simplicifolia,0.753,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Heritiera simplicifolia,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Hevea brasiliensis,0.865,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Hopea sengal,0.817,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Khaya anthotheca,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Khaya anthotheca,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Khaya grandiflora,0.817,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Khaya ivorensis,0.641,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Khaya nyascia,0.705,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Koordersiodendron pinnatum,1.089,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Loniciocarpus castillo,1.169,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Lophira alata,1.292,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Lovoa trichilioides,0.673,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Maesopsis veminii,0.609,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Mansonia altissima,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Mora excelsa,1.137,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Muragne sp.,0.689,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Nauclea diderrichii,0.945,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Nectrandra sp.,0.689,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Newtonia buchaneni,0.705,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Nothofagus sprocera,0.561,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Ocotea rodiaei,1.25,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Ocotea usambarensis,0.769,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Octomeles sumatrana,0.481,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Olea hochstetteri,1.121,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Oxystigma oxyphyllum,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Parashorea sp.,0.705,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Parashorea malaanonan,0.641,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Parashorea tomentelia,0.577,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Peltogyne sp,1.105,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pericopsis elata,0.977,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pipradeniostrum africanum,0.849,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Platanus hybrida,0.785,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Populus canadensis,0.529,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Populus x canescens,0.577,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Populus x canescens,0.577,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Populus x canescens,0.481,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Protium decendrum,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Prunus avium,0.753,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pseudosindora palustris,0.833,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pterocarpus angolensis,0.881,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pterygota bequaertii,0.849,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Pterygota macrocarpa,0.705,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Qualea sp.,0.897,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Quercus sp.,0.833,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Quercus cerris,0.929,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Quercus rubra,0.865,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Ricinodendron rautanenii,0.224,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Salix x alba,0.529,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Salix alba var. coerulea,0.513,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Salix fragilis,0.529,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Sclerocarpa sp.,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Scottellia coriacea,0.849,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea acuminatissima,0.609,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea dasphylla,0.609,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea faguetiana,0.673,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea gibbosa,0.625,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea guiso,0.993,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea hakeifolia,0.689,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea leptoclados,0.545,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea macrophylla,0.449,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea parvifloia,0.513,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea pauciflora,0.689,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
