feature,family,logical_type,dtype,missing_pct,n_unique,mean,min,max,sample_values
C12,Count Features,Numerical,float64,0.0,1199,4.0762,0.0,3188.0,
C13,Count Features,Numerical,float64,0.0,1597,32.5399,0.0,2918.0,
C14,Count Features,Numerical,float64,0.0,1108,8.2952,0.0,1429.0,
D1,Timedelta Features,Numerical,float64,0.21,641,94.3476,0.0,640.0,
D2,Timedelta Features,Numerical,float64,47.55,641,169.5632,0.0,640.0,
D3,Timedelta Features,Numerical,float64,44.51,649,28.3433,0.0,819.0,
D4,Timedelta Features,Numerical,float64,28.6,808,140.0024,-122.0,869.0,
D5,Timedelta Features,Numerical,float64,52.47,688,42.336,0.0,819.0,
D6,Timedelta Features,Numerical,float64,87.61,829,69.8057,-83.0,873.0,
D7,Timedelta Features,Numerical,float64,93.41,597,41.6389,0.0,843.0,
D8,Timedelta Features,Numerical,float64,87.31,12353,146.0581,0.0,1707.7916,
D9,Timedelta Features,Numerical,float64,87.31,24,0.5611,0.0,0.9583,
D10,Timedelta Features,Numerical,float64,12.87,818,123.9821,0.0,876.0,
D11,Timedelta Features,Numerical,float64,47.29,676,146.6215,-53.0,670.0,
D12,Timedelta Features,Numerical,float64,89.04,635,54.0375,-83.0,648.0,
D13,Timedelta Features,Numerical,float64,89.51,577,17.9013,0.0,847.0,
D14,Timedelta Features,Numerical,float64,89.47,802,57.7244,-193.0,878.0,
D15,Timedelta Features,Numerical,float64,15.09,859,163.7446,-83.0,879.0,
M1,Match Flags,Binary,object,45.91,2,,,,"T: 319,415; nan: 271,100; F: 25"
M2,Match Flags,Binary,object,45.91,2,,,,"T: 285,468; nan: 271,100; F: 33,972"
M3,Match Flags,Binary,object,45.91,2,,,,"nan: 271,100; T: 251,731; F: 67,709"
M4,Match Flags,Categorical,object,47.66,3,,,,"M0 (196,405); M2 (59,865); M1 (52,826)"
M5,Match Flags,Binary,object,59.35,2,,,,"nan: 350,482; F: 132,491; T: 107,567"
M6,Match Flags,Binary,object,28.68,2,,,,"F: 227,856; T: 193,324; nan: 169,360"
M7,Match Flags,Binary,object,58.64,2,,,,"nan: 346,265; F: 211,374; T: 32,901"
M8,Match Flags,Binary,object,58.63,2,,,,"nan: 346,252; F: 155,251; T: 89,037"
M9,Match Flags,Binary,object,58.63,2,,,,"nan: 346,252; T: 205,656; F: 38,632"
V1,Vesta Engineered,Binary,float64,47.29,2,,,,"1.0: 311,236; nan: 279,287; 0.0: 17"
V2,Vesta Engineered,Discrete Numerical,float64,47.29,9,1.0452,0.0,8.0,
V3,Vesta Engineered,Discrete Numerical,float64,47.29,10,1.0781,0.0,9.0,
V4,Vesta Engineered,Discrete Numerical,float64,47.29,7,0.8465,0.0,6.0,
V5,Vesta Engineered,Discrete Numerical,float64,47.29,7,0.877,0.0,6.0,
V6,Vesta Engineered,Discrete Numerical,float64,47.29,10,1.0457,0.0,9.0,
V7,Vesta Engineered,Discrete Numerical,float64,47.29,10,1.0729,0.0,9.0,
V8,Vesta Engineered,Discrete Numerical,float64,47.29,9,1.0277,0.0,8.0,
V9,Vesta Engineered,Discrete Numerical,float64,47.29,9,1.0415,0.0,8.0,
V10,Vesta Engineered,Discrete Numerical,float64,47.29,5,0.4639,0.0,4.0,
V11,Vesta Engineered,Discrete Numerical,float64,47.29,6,0.479,0.0,5.0,
V12,Vesta Engineered,Discrete Numerical,float64,12.88,4,0.5597,0.0,3.0,
V13,Vesta Engineered,Discrete Numerical,float64,12.88,7,0.5992,0.0,6.0,
V14,Vesta Engineered,Binary,float64,12.88,2,,,,"1.0: 514,210; nan: 76,073; 0.0: 257"
V15,Vesta Engineered,Discrete Numerical,float64,12.88,8,0.1223,0.0,7.0,
V16,Vesta Engineered,Discrete Numerical,float64,12.88,15,0.1235,0.0,15.0,
V17,Vesta Engineered,Discrete Numerical,float64,12.88,16,0.134,0.0,15.0,
V18,Vesta Engineered,Discrete Numerical,float64,12.88,16,0.1354,0.0,15.0,
V19,Vesta Engineered,Discrete Numerical,float64,12.88,8,0.8164,0.0,7.0,
V20,Vesta Engineered,Discrete Numerical,float64,12.88,15,0.8478,0.0,15.0,
V21,Vesta Engineered,Discrete Numerical,float64,12.88,6,0.1297,0.0,5.0,
V22,Vesta Engineered,Discrete Numerical,float64,12.88,9,0.1323,0.0,8.0,
V23,Vesta Engineered,Discrete Numerical,float64,12.88,14,1.0348,0.0,13.0,
V24,Vesta Engineered,Discrete Numerical,float64,12.88,14,1.0581,0.0,13.0,
V25,Vesta Engineered,Discrete Numerical,float64,12.88,7,0.9777,0.0,7.0,
V26,Vesta Engineered,Discrete Numerical,float64,12.88,13,0.988,0.0,13.0,
V27,Vesta Engineered,Discrete Numerical,float64,12.88,4,0.0008,0.0,4.0,
V28,Vesta Engineered,Discrete Numerical,float64,12.88,4,0.0008,0.0,4.0,
V29,Vesta Engineered,Discrete Numerical,float64,12.88,6,0.3878,0.0,5.0,
V30,Vesta Engineered,Discrete Numerical,float64,12.88,8,0.4064,0.0,9.0,
V31,Vesta Engineered,Discrete Numerical,float64,12.88,8,0.1408,0.0,7.0,
V32,Vesta Engineered,Discrete Numerical,float64,12.88,15,0.1424,0.0,15.0,
V33,Vesta Engineered,Discrete Numerical,float64,12.88,7,0.1307,0.0,7.0,
V34,Vesta Engineered,Discrete Numerical,float64,12.88,13,0.1392,0.0,13.0,
V35,Vesta Engineered,Discrete Numerical,float64,28.61,4,0.5426,0.0,3.0,
V36,Vesta Engineered,Discrete Numerical,float64,28.61,6,0.5792,0.0,5.0,
V37,Vesta Engineered,Numerical,float64,28.61,55,1.1081,0.0,54.0,
V38,Vesta Engineered,Numerical,float64,28.61,55,1.1624,0.0,54.0,
V39,Vesta Engineered,Discrete Numerical,float64,28.61,16,0.1661,0.0,15.0,
V40,Vesta Engineered,Discrete Numerical,float64,28.61,18,0.1771,0.0,24.0,
V41,Vesta Engineered,Binary,float64,28.61,2,,,,"1.0: 421,263; nan: 168,969; 0.0: 308"
V42,Vesta Engineered,Discrete Numerical,float64,28.61,9,0.1561,0.0,8.0,
V43,Vesta Engineered,Discrete Numerical,float64,28.61,9,0.1689,0.0,8.0,
V44,Vesta Engineered,Numerical,float64,28.61,49,1.0839,0.0,48.0,
V45,Vesta Engineered,Numerical,float64,28.61,49,1.1208,0.0,48.0,
V46,Vesta Engineered,Discrete Numerical,float64,28.61,7,1.0223,0.0,6.0,
V47,Vesta Engineered,Discrete Numerical,float64,28.61,9,1.0385,0.0,12.0,
V48,Vesta Engineered,Discrete Numerical,float64,28.61,6,0.3832,0.0,5.0,
V49,Vesta Engineered,Discrete Numerical,float64,28.61,6,0.3977,0.0,5.0,
V50,Vesta Engineered,Discrete Numerical,float64,28.61,6,0.1647,0.0,5.0,
V51,Vesta Engineered,Discrete Numerical,float64,28.61,7,0.1706,0.0,6.0,
V52,Vesta Engineered,Discrete Numerical,float64,28.61,9,0.1827,0.0,12.0,
V53,Vesta Engineered,Discrete Numerical,float64,13.06,6,0.5776,0.0,5.0,
V54,Vesta Engineered,Discrete Numerical,float64,13.06,7,0.62,0.0,6.0,
V55,Vesta Engineered,Discrete Numerical,float64,13.06,18,1.0677,0.0,17.0,
V56,Vesta Engineered,Numerical,float64,13.06,52,1.121,0.0,51.0,
V57,Vesta Engineered,Discrete Numerical,float64,13.06,7,0.1283,0.0,6.0,
V58,Vesta Engineered,Discrete Numerical,float64,13.06,11,0.1325,0.0,10.0,
V59,Vesta Engineered,Discrete Numerical,float64,13.06,17,0.1344,0.0,16.0,
V60,Vesta Engineered,Discrete Numerical,float64,13.06,17,0.1425,0.0,16.0,
V61,Vesta Engineered,Discrete Numerical,float64,13.06,7,0.8298,0.0,6.0,
V62,Vesta Engineered,Discrete Numerical,float64,13.06,11,0.8676,0.0,10.0,
V63,Vesta Engineered,Discrete Numerical,float64,13.06,8,0.1307,0.0,7.0,
V64,Vesta Engineered,Discrete Numerical,float64,13.06,8,0.1418,0.0,7.0,
V65,Vesta Engineered,Binary,float64,13.06,2,,,,"1.0: 513,271; nan: 77,096; 0.0: 173"
V66,Vesta Engineered,Discrete Numerical,float64,13.06,8,0.981,0.0,7.0,
V67,Vesta Engineered,Discrete Numerical,float64,13.06,9,0.9981,0.0,8.0,
V68,Vesta Engineered,Discrete Numerical,float64,13.06,3,0.0005,0.0,2.0,
V69,Vesta Engineered,Discrete Numerical,float64,13.06,6,0.3902,0.0,5.0,
V70,Vesta Engineered,Discrete Numerical,float64,13.06,7,0.4079,0.0,6.0,
V71,Vesta Engineered,Discrete Numerical,float64,13.06,7,0.1406,0.0,6.0,
V72,Vesta Engineered,Discrete Numerical,float64,13.06,11,0.1451,0.0,10.0,
V73,Vesta Engineered,Discrete Numerical,float64,13.06,8,0.14,0.0,7.0,
V74,Vesta Engineered,Discrete Numerical,float64,13.06,9,0.1521,0.0,8.0,
V75,Vesta Engineered,Discrete Numerical,float64,15.1,5,0.5443,0.0,4.0,
V76,Vesta Engineered,Discrete Numerical,float64,15.1,7,0.5876,0.0,6.0,
V77,Vesta Engineered,Numerical,float64,15.1,31,1.0869,0.0,30.0,
V78,Vesta Engineered,Numerical,float64,15.1,32,1.1445,0.0,31.0,
V79,Vesta Engineered,Discrete Numerical,float64,15.1,8,0.1369,0.0,7.0,
V80,Vesta Engineered,Numerical,float64,15.1,20,0.144,0.0,19.0,
V81,Vesta Engineered,Numerical,float64,15.1,20,0.1527,0.0,19.0,
V82,Vesta Engineered,Discrete Numerical,float64,15.1,8,0.8446,0.0,7.0,
V83,Vesta Engineered,Discrete Numerical,float64,15.1,8,0.882,0.0,7.0,
V84,Vesta Engineered,Discrete Numerical,float64,15.1,8,0.1371,0.0,7.0,
V85,Vesta Engineered,Discrete Numerical,float64,15.1,8,0.1498,0.0,7.0,
V86,Vesta Engineered,Numerical,float64,15.1,31,1.0649,0.0,30.0,
V87,Vesta Engineered,Numerical,float64,15.1,31,1.0995,0.0,30.0,
V88,Vesta Engineered,Binary,float64,15.1,2,,,,"1.0: 500,998; nan: 89,164; 0.0: 378"
V89,Vesta Engineered,Discrete Numerical,float64,15.1,3,0.0009,0.0,2.0,
V90,Vesta Engineered,Discrete Numerical,float64,15.1,6,0.4019,0.0,5.0,
V91,Vesta Engineered,Discrete Numerical,float64,15.1,7,0.4205,0.0,6.0,
V92,Vesta Engineered,Discrete Numerical,float64,15.1,8,0.1503,0.0,7.0,
V93,Vesta Engineered,Discrete Numerical,float64,15.1,8,0.1548,0.0,7.0,
V94,Vesta Engineered,Discrete Numerical,float64,15.1,3,0.137,0.0,2.0,
V95,Vesta Engineered,Numerical,float64,0.05,881,1.038,0.0,880.0,
V96,Vesta Engineered,Numerical,float64,0.05,1410,3.0052,0.0,1410.0,
V97,Vesta Engineered,Numerical,float64,0.05,976,1.7189,0.0,976.0,
V98,Vesta Engineered,Discrete Numerical,float64,0.05,13,0.062,0.0,12.0,
V99,Vesta Engineered,Numerical,float64,0.05,89,0.895,0.0,88.0,
V100,Vesta Engineered,Numerical,float64,0.05,29,0.2735,0.0,28.0,
V101,Vesta Engineered,Numerical,float64,0.05,870,0.8892,0.0,869.0,
V102,Vesta Engineered,Numerical,float64,0.05,1285,1.8272,0.0,1285.0,
V103,Vesta Engineered,Numerical,float64,0.05,928,1.2793,0.0,928.0,
V104,Vesta Engineered,Discrete Numerical,float64,0.05,16,0.0854,0.0,15.0,
V105,Vesta Engineered,Numerical,float64,0.05,100,0.2811,0.0,99.0,
V106,Vesta Engineered,Numerical,float64,0.05,56,0.1646,0.0,55.0,
V107,Vesta Engineered,Binary,float64,0.05,2,,,,"1.0: 589,978; nan: 314; 0.0: 248"
V108,Vesta Engineered,Discrete Numerical,float64,0.05,8,1.0046,0.0,7.0,
V109,Vesta Engineered,Discrete Numerical,float64,0.05,8,1.0148,0.0,7.0,
V110,Vesta Engineered,Discrete Numerical,float64,0.05,8,1.0077,0.0,7.0,
V111,Vesta Engineered,Discrete Numerical,float64,0.05,10,1.0026,0.0,9.0,
V112,Vesta Engineered,Discrete Numerical,float64,0.05,10,1.0054,0.0,9.0,
V113,Vesta Engineered,Discrete Numerical,float64,0.05,10,1.0034,0.0,9.0,
V114,Vesta Engineered,Discrete Numerical,float64,0.05,7,1.0093,0.0,6.0,
V115,Vesta Engineered,Discrete Numerical,float64,0.05,7,1.0325,0.0,6.0,
V116,Vesta Engineered,Discrete Numerical,float64,0.05,7,1.0157,0.0,6.0,
V117,Vesta Engineered,Discrete Numerical,float64,0.05,4,1.0004,0.0,3.0,
V118,Vesta Engineered,Discrete Numerical,float64,0.05,4,1.0015,0.0,3.0,
V119,Vesta Engineered,Discrete Numerical,float64,0.05,4,1.0007,0.0,3.0,
V120,Vesta Engineered,Discrete Numerical,float64,0.05,4,1.0009,0.0,3.0,
V121,Vesta Engineered,Discrete Numerical,float64,0.05,4,1.0043,0.0,3.0,
V122,Vesta Engineered,Discrete Numerical,float64,0.05,4,1.0018,0.0,3.0,
V123,Vesta Engineered,Discrete Numerical,float64,0.05,14,1.0311,0.0,13.0,
V124,Vesta Engineered,Discrete Numerical,float64,0.05,14,1.093,0.0,13.0,
V125,Vesta Engineered,Discrete Numerical,float64,0.05,14,1.0504,0.0,13.0,
V126,Vesta Engineered,Numerical,float64,0.05,10299,129.9794,0.0,160000.0,
V127,Vesta Engineered,Numerical,float64,0.05,24414,336.6116,0.0,160000.0,
V128,Vesta Engineered,Numerical,float64,0.05,14507,204.094,0.0,160000.0,
V129,Vesta Engineered,Numerical,float64,0.05,1968,8.7689,0.0,55125.0,
V130,Vesta Engineered,Numerical,float64,0.05,12332,92.1658,0.0,55125.0,
V131,Vesta Engineered,Numerical,float64,0.05,4444,31.1333,0.0,55125.0,
V132,Vesta Engineered,Numerical,float64,0.05,6560,103.5132,0.0,93736.0,
V133,Vesta Engineered,Numerical,float64,0.05,9949,204.8892,0.0,133915.0,
V134,Vesta Engineered,Numerical,float64,0.05,8178,145.9723,0.0,98476.0,
V135,Vesta Engineered,Numerical,float64,0.05,3724,17.2501,0.0,90750.0,
V136,Vesta Engineered,Numerical,float64,0.05,4852,38.8212,0.0,90750.0,
V137,Vesta Engineered,Numerical,float64,0.05,4252,26.3651,0.0,90750.0,
V138,Vesta Engineered,Numerical,float64,86.12,23,0.0364,0.0,22.0,
V139,Vesta Engineered,Numerical,float64,86.12,34,1.0739,0.0,33.0,
V140,Vesta Engineered,Numerical,float64,86.12,34,1.1253,0.0,33.0,
V141,Vesta Engineered,Discrete Numerical,float64,86.12,6,0.0377,0.0,5.0,
V142,Vesta Engineered,Discrete Numerical,float64,86.12,10,0.0486,0.0,9.0,
V143,Vesta Engineered,Numerical,float64,86.12,870,8.397,0.0,869.0,
V144,Vesta Engineered,Numerical,float64,86.12,63,3.7085,0.0,62.0,
V145,Vesta Engineered,Numerical,float64,86.12,260,22.1129,0.0,297.0,
V146,Vesta Engineered,Numerical,float64,86.12,25,0.1563,0.0,24.0,
V147,Vesta Engineered,Numerical,float64,86.12,27,0.1686,0.0,26.0,
V148,Vesta Engineered,Numerical,float64,86.12,21,0.765,0.0,20.0,
V149,Vesta Engineered,Numerical,float64,86.12,21,0.7753,0.0,20.0,
V150,Vesta Engineered,Numerical,float64,86.12,1996,277.598,1.0,3389.0,
V151,Vesta Engineered,Numerical,float64,86.12,56,6.4602,1.0,57.0,
V152,Vesta Engineered,Numerical,float64,86.12,39,9.4327,1.0,69.0,
V153,Vesta Engineered,Discrete Numerical,float64,86.12,19,0.7532,0.0,18.0,
V154,Vesta Engineered,Discrete Numerical,float64,86.12,19,0.7574,0.0,18.0,
V155,Vesta Engineered,Numerical,float64,86.12,25,0.7674,0.0,24.0,
V156,Vesta Engineered,Numerical,float64,86.12,25,0.7775,0.0,24.0,
V157,Vesta Engineered,Numerical,float64,86.12,25,0.8176,0.0,24.0,
V158,Vesta Engineered,Numerical,float64,86.12,25,0.8335,0.0,24.0,
V159,Vesta Engineered,Numerical,float64,86.12,6663,2719.2998,0.0,55125.0,
V160,Vesta Engineered,Numerical,float64,86.12,9621,47453.1812,0.0,641511.4375,
V161,Vesta Engineered,Numerical,float64,86.12,79,4.8439,0.0,3300.0,
V162,Vesta Engineered,Numerical,float64,86.12,185,6.5947,0.0,3300.0,
V163,Vesta Engineered,Numerical,float64,86.12,106,5.506,0.0,3300.0,
V164,Vesta Engineered,Numerical,float64,86.12,1978,877.8889,0.0,93736.0,
V165,Vesta Engineered,Numerical,float64,86.12,2547,2239.9122,0.0,98476.0,
V166,Vesta Engineered,Numerical,float64,86.12,987,359.4694,0.0,104060.0,
V167,Vesta Engineered,Numerical,float64,76.36,873,3.9295,0.0,872.0,
V168,Vesta Engineered,Numerical,float64,76.36,965,5.8595,0.0,964.0,
V169,Vesta Engineered,Numerical,float64,76.32,20,0.1681,0.0,19.0,
V170,Vesta Engineered,Numerical,float64,76.32,49,1.4368,0.0,48.0,
V171,Vesta Engineered,Numerical,float64,76.32,62,1.6909,0.0,61.0,
V172,Vesta Engineered,Numerical,float64,76.36,32,0.132,0.0,31.0,
V173,Vesta Engineered,Discrete Numerical,float64,76.36,8,0.0552,0.0,7.0,
V174,Vesta Engineered,Discrete Numerical,float64,76.32,9,0.1278,0.0,8.0,
V175,Vesta Engineered,Discrete Numerical,float64,76.32,15,0.2126,0.0,14.0,
V176,Vesta Engineered,Numerical,float64,76.36,49,1.377,0.0,48.0,
V177,Vesta Engineered,Numerical,float64,76.36,862,3.5292,0.0,861.0,
V178,Vesta Engineered,Numerical,float64,76.36,1236,6.6493,0.0,1235.0,
V179,Vesta Engineered,Numerical,float64,76.36,921,4.869,0.0,920.0,
V180,Vesta Engineered,Numerical,float64,76.32,84,0.9241,0.0,83.0,
V181,Vesta Engineered,Numerical,float64,76.36,25,0.2533,0.0,24.0,
V182,Vesta Engineered,Numerical,float64,76.36,84,0.8562,0.0,83.0,
V183,Vesta Engineered,Numerical,float64,76.36,42,0.4847,0.0,41.0,
V184,Vesta Engineered,Discrete Numerical,float64,76.32,17,0.1324,0.0,16.0,
V185,Vesta Engineered,Numerical,float64,76.32,32,0.1739,0.0,31.0,
V186,Vesta Engineered,Numerical,float64,76.36,39,1.1488,0.0,38.0,
V187,Vesta Engineered,Numerical,float64,76.36,215,1.8438,0.0,218.0,
V188,Vesta Engineered,Numerical,float64,76.32,31,1.0148,0.0,30.0,
V189,Vesta Engineered,Numerical,float64,76.32,31,1.0383,0.0,30.0,
V190,Vesta Engineered,Numerical,float64,76.36,43,1.2131,0.0,42.0,
V191,Vesta Engineered,Numerical,float64,76.36,22,1.059,0.0,21.0,
V192,Vesta Engineered,Numerical,float64,76.36,45,1.2374,0.0,44.0,
V193,Vesta Engineered,Numerical,float64,76.36,38,1.1498,0.0,37.0,
V194,Vesta Engineered,Discrete Numerical,float64,76.32,8,0.9458,0.0,7.0,
V195,Vesta Engineered,Discrete Numerical,float64,76.32,17,0.9542,0.0,16.0,
V196,Vesta Engineered,Numerical,float64,76.36,39,1.0846,0.0,38.0,
V197,Vesta Engineered,Discrete Numerical,float64,76.32,15,0.9494,0.0,14.0,
V198,Vesta Engineered,Numerical,float64,76.32,22,0.962,0.0,21.0,
V199,Vesta Engineered,Numerical,float64,76.36,46,1.2707,0.0,45.0,
V200,Vesta Engineered,Numerical,float64,76.32,46,1.12,0.0,45.0,
V201,Vesta Engineered,Numerical,float64,76.32,56,1.1591,0.0,55.0,
V202,Vesta Engineered,Numerical,float64,76.36,10970,444.1471,0.0,104060.0,
V203,Vesta Engineered,Numerical,float64,76.36,14951,1078.3275,0.0,139777.0,
V204,Vesta Engineered,Numerical,float64,76.36,12858,686.9569,0.0,104060.0,
V205,Vesta Engineered,Numerical,float64,76.36,2240,18.0604,0.0,55125.0,
V206,Vesta Engineered,Numerical,float64,76.36,1780,6.1894,0.0,55125.0,
V207,Vesta Engineered,Numerical,float64,76.36,3246,72.2841,0.0,55125.0,
V208,Vesta Engineered,Numerical,float64,76.32,2552,8.8882,0.0,3300.0,
V209,Vesta Engineered,Numerical,float64,76.32,3451,35.0019,0.0,8050.0,
V210,Vesta Engineered,Numerical,float64,76.32,2836,14.3918,0.0,3300.0,
V211,Vesta Engineered,Numerical,float64,76.36,7624,385.137,0.0,92888.0,
V212,Vesta Engineered,Numerical,float64,76.36,8868,765.9883,0.0,129006.0,
V213,Vesta Engineered,Numerical,float64,76.36,8317,536.3028,0.0,97628.0,
V214,Vesta Engineered,Numerical,float64,76.36,2282,38.4375,0.0,104060.0,
V215,Vesta Engineered,Numerical,float64,76.36,2747,133.2082,0.0,104060.0,
V216,Vesta Engineered,Numerical,float64,76.36,2532,71.1071,0.0,104060.0,
V217,Vesta Engineered,Numerical,float64,77.91,304,1.0546,0.0,303.0,
V218,Vesta Engineered,Numerical,float64,77.91,401,1.7258,0.0,400.0,
V219,Vesta Engineered,Numerical,float64,77.91,379,1.3671,0.0,378.0,
V220,Vesta Engineered,Numerical,float64,76.05,26,0.1695,0.0,25.0,
V221,Vesta Engineered,Numerical,float64,76.05,77,1.2749,0.0,384.0,
V222,Vesta Engineered,Numerical,float64,76.05,76,1.359,0.0,384.0,
V223,Vesta Engineered,Discrete Numerical,float64,77.91,17,0.0932,0.0,16.0,
V224,Vesta Engineered,Numerical,float64,77.91,79,0.3947,0.0,144.0,
V225,Vesta Engineered,Numerical,float64,77.91,35,0.1918,0.0,51.0,
V226,Vesta Engineered,Numerical,float64,77.91,81,0.2476,0.0,242.0,
V227,Vesta Engineered,Numerical,float64,76.05,50,0.148,0.0,360.0,
V228,Vesta Engineered,Numerical,float64,77.91,55,1.3519,0.0,54.0,
V229,Vesta Engineered,Numerical,float64,77.91,91,1.6387,0.0,176.0,
V230,Vesta Engineered,Numerical,float64,77.91,66,1.4655,0.0,65.0,
V231,Vesta Engineered,Numerical,float64,77.91,294,0.7655,0.0,293.0,
V232,Vesta Engineered,Numerical,float64,77.91,338,1.0056,0.0,337.0,
V233,Vesta Engineered,Numerical,float64,77.91,333,0.9084,0.0,332.0,
V234,Vesta Engineered,Numerical,float64,76.05,122,2.0928,0.0,121.0,
V235,Vesta Engineered,Numerical,float64,77.91,24,0.1841,0.0,23.0,
V236,Vesta Engineered,Numerical,float64,77.91,46,0.3077,0.0,45.0,
V237,Vesta Engineered,Numerical,float64,77.91,40,0.2535,0.0,39.0,
V238,Vesta Engineered,Numerical,float64,76.05,24,0.128,0.0,23.0,
V239,Vesta Engineered,Numerical,float64,76.05,24,0.137,0.0,23.0,
V240,Vesta Engineered,Discrete Numerical,float64,77.91,6,1.001,0.0,7.0,
V241,Vesta Engineered,Discrete Numerical,float64,77.91,5,1.0002,0.0,5.0,
V242,Vesta Engineered,Numerical,float64,77.91,21,1.1135,0.0,20.0,
V243,Vesta Engineered,Numerical,float64,77.91,43,1.1784,0.0,57.0,
V244,Vesta Engineered,Numerical,float64,77.91,23,1.1186,0.0,22.0,
V245,Vesta Engineered,Numerical,float64,76.05,58,0.8766,0.0,262.0,
V246,Vesta Engineered,Numerical,float64,77.91,46,1.1837,0.0,45.0,
V247,Vesta Engineered,Discrete Numerical,float64,77.91,19,1.0254,0.0,18.0,
V248,Vesta Engineered,Numerical,float64,77.91,23,1.0695,0.0,36.0,
V249,Vesta Engineered,Numerical,float64,77.91,23,1.0429,0.0,22.0,
V250,Vesta Engineered,Discrete Numerical,float64,76.05,19,0.7886,0.0,18.0,
V251,Vesta Engineered,Discrete Numerical,float64,76.05,19,0.7942,0.0,18.0,
V252,Vesta Engineered,Numerical,float64,77.91,25,1.032,0.0,24.0,
V253,Vesta Engineered,Numerical,float64,77.91,66,1.1622,0.0,163.0,
V254,Vesta Engineered,Numerical,float64,77.91,45,1.0751,0.0,60.0,
V255,Vesta Engineered,Numerical,float64,76.05,46,0.8067,0.0,87.0,
V256,Vesta Engineered,Numerical,float64,76.05,48,0.815,0.0,87.0,
V257,Vesta Engineered,Numerical,float64,77.91,49,1.251,0.0,48.0,
V258,Vesta Engineered,Numerical,float64,77.91,67,1.3435,0.0,66.0,
V259,Vesta Engineered,Numerical,float64,76.05,68,0.9678,0.0,285.0,
V260,Vesta Engineered,Discrete Numerical,float64,77.91,9,0.9644,0.0,8.0,
V261,Vesta Engineered,Numerical,float64,77.91,41,1.1072,0.0,49.0,
V262,Vesta Engineered,Numerical,float64,77.91,21,1.0133,0.0,20.0,
V263,Vesta Engineered,Numerical,float64,77.91,10422,117.3907,0.0,153600.0,
V264,Vesta Engineered,Numerical,float64,77.91,13358,201.6576,0.0,153600.0,
V265,Vesta Engineered,Numerical,float64,77.91,11757,153.5205,0.0,153600.0,
V266,Vesta Engineered,Numerical,float64,77.91,2178,9.1678,0.0,55125.0,
V267,Vesta Engineered,Numerical,float64,77.91,3616,36.5251,0.0,55125.0,
V268,Vesta Engineered,Numerical,float64,77.91,2756,18.8134,0.0,55125.0,
V269,Vesta Engineered,Numerical,float64,77.91,151,5.9975,0.0,55125.0,
V270,Vesta Engineered,Numerical,float64,76.05,2340,7.7128,0.0,4000.0,
